iter	Passed	Remaining
935	61111	4178
936	61178	4113
937	61246	4048
938	61311	3982
939	61379	3917
940	61443	3852
941	61509	3787
942	61573	3721
943	61636	3656
944	61702	3591
945	61766	3525
946	61832	3460
947	61894	3395
948	61960	3329
949	62029	3264
950	62098	3199
951	62164	3134
952	62228	3068
953	62296	3003
954	62365	2938
955	62429	2873
956	62496	2808
957	62563	2742
958	62628	2677
959	62696	2612
960	62761	2547
961	62831	2481
962	62895	2416
963	62962	2351
964	63030	2286
965	63093	2220
966	63158	2155
967	63226	2090
968	63291	2024
969	63359	1959
970	63423	1894
971	63488	1828
972	63557	1763
973	63624	1698
974	63687	1633
975	63751	1567
976	63818	1502
977	63884	1437
978	63949	1371
979	64013	1306
980	64076	1241
981	64141	1175
982	64204	1110
983	64266	1044
984	64333	979
985	64396	914
986	64463	849
987	64530	783
988	64596	718
989	64662	653
990	64727	587
991	64792	522
992	64863	457
993	64927	391
994	64993	326
995	65061	261
996	65126	195
997	65195	130
998	65260	65
999	65325	0
